,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
December 2007,125256750.0,-244032750.0,
March 2008,125256750.0,-244032750.0,
June 2008,125256750.0,-244032750.0,
September 2008,125256750.0,-244032750.0,
December 2008,66884500.0,-68227500.0,
March 2009,66884500.0,-68227500.0,
June 2009,83878000.0,-66048000.0,
September 2009,85377000.0,100719000.0,
December 2009,72203000.0,-54704000.0,3435989000.0
March 2010,82990000.0,-30709000.0,
June 2010,78602000.0,-1397000.0,
September 2010,55725000.0,17442000.0,3176452000.0
December 2010,49605000.0,-114526000.0,3109749000.0
March 2011,62520000.0,-68504000.0,2901246000.0
June 2011,60185000.0,-9649000.0,2860348000.0
September 2011,75576000.0,13911000.0,2721817000.0
December 2011,55686000.0,-45802000.0,2512542000.0
March 2012,66472000.0,-24136000.0,2406073000.0
June 2012,59332000.0,3261000.0,2394005000.0
September 2012,55153000.0,7724000.0,2549464000.0
December 2012,59097000.0,-12458000.0,2561698000.0
March 2013,70099000.0,-2973000.0,2900637000.0
June 2013,63456000.0,27278000.0,2912121000.0
September 2013,63156000.0,28116000.0,2964841000.0
December 2013,61274000.0,10563000.0,3193635000.0
March 2014,71544000.0,26624000.0,3248172000.0
June 2014,72897000.0,28361000.0,3828026000.0
September 2014,82308000.0,852801000.0,3887391000.0
December 2014,71072000.0,7799000.0,4757550000.0
March 2015,78532000.0,9573000.0,4989857000.0
June 2015,95074000.0,23254000.0,5039060000.0
September 2015,98320000.0,44017000.0,4948496000.0
December 2015,87932000.0,13127000.0,5015371000.0
March 2016,93810000.0,15597000.0,4922056000.0
June 2016,98144000.0,39363000.0,4915843000.0
September 2016,109555000.0,37528000.0,5027761000.0
December 2016,92889000.0,14259000.0,5131624000.0
March 2017,103917000.0,31782000.0,4922580000.0
June 2017,109095000.0,50208000.0,4958795000.0
September 2017,120493000.0,84346000.0,5099559000.0
December 2017,95724000.0,-71255000.0,5041515000.0
March 2018,113231000.0,57308000.0,4957101000.0
June 2018,114753000.0,87476000.0,5094736000.0
September 2018,120446000.0,96836000.0,4974689000.0
