,NetIncomeLoss,Assets,AssetsCurrent
March 2015,37358500.0,2556094000.0,678610000.0
June 2015,37358500.0,2615916000.0,786041000.0
September 2015,70029000.0,2625791000.0,791767000.0
December 2015,,2489922000.0,740984000.0
March 2016,51466000.0,2570015000.0,811136000.0
June 2016,79570000.0,2561337000.0,792182000.0
September 2016,102454000.0,2634136000.0,860252000.0
December 2016,-9370000.0,2708601000.0,798236000.0
March 2017,36912000.0,2842159000.0,914039000.0
June 2017,80433000.0,2909463000.0,1000861000.0
September 2017,74566000.0,2822693000.0,821711000.0
December 2017,138699000.0,2873821000.0,716076000.0
March 2018,28542000.0,2974444000.0,746076000.0
June 2018,79480000.0,3232861000.0,841299000.0
September 2018,93542000.0,3270955000.0,845820000.0
December 2018,31636000.0,3196646000.0,705167000.0
March 2019,36358000.0,3754114000.0,739589000.0
June 2019,57833000.0,3768183000.0,738352000.0
September 2019,80076000.0,4064691000.0,981703000.0
December 2019,49717000.0,4126624000.0,874706000.0
March 2020,-144372000.0,4136730000.0,1029447000.0
June 2020,-106904000.0,3996495000.0,962853000.0
September 2020,-97099000.0,4097136000.0,1168511000.0
December 2020,-162560000.0,3978030000.0,1118478000.0
March 2021,-60691000.0,4972899000.0,2172609000.0
June 2021,-6177000.0,5216136000.0,2482068000.0
September 2021,14669000.0,4969274000.0,2288561000.0
December 2021,-92574000.0,4631120000.0,2013905000.0
March 2022,-122809000.0,4488162000.0,1921515000.0
June 2022,-36774000.0,4365014000.0,1833029000.0
