,NetIncomeLoss,Assets
March 2009,6701500.0,
June 2009,6701500.0,
September 2009,6701500.0,
December 2009,6701500.0,15000000000.0
March 2010,12881000.0,
June 2010,8957000.0,
September 2010,9560000.0,
December 2010,-13807000.0,3762646000.0
March 2011,12716000.0,
June 2011,13546000.0,3694469000.0
September 2011,14312000.0,3622166000.0
December 2011,14167000.0,3604117000.0
March 2012,14498000.0,4147952000.0
June 2012,15490000.0,4056405000.0
September 2012,16095000.0,3887909000.0
December 2012,16939000.0,4242130000.0
March 2013,17548000.0,4225507000.0
June 2013,17659000.0,4091337000.0
September 2013,18363000.0,4161306000.0
December 2013,12950000.0,6811861000.0
March 2014,27337000.0,6780776000.0
June 2014,28429000.0,6666140000.0
September 2014,27371000.0,7196371000.0
December 2014,29926000.0,7403272000.0
March 2015,31119000.0,7513974000.0
