,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,132137500.0,5885000.0,105189500.0,-12608250.0,,,
June 2009,132137500.0,5885000.0,105189500.0,-12608250.0,,,
September 2009,132137500.0,5885000.0,105189500.0,-12608250.0,,,
December 2009,132137500.0,5885000.0,105189500.0,-12608250.0,,,
March 2010,135151000.0,5571000.0,110526000.0,-33658000.0,,,
June 2010,141993000.0,5460000.0,116862000.0,243000.0,,,
September 2010,127967000.0,5892000.0,102672000.0,-7715000.0,,,
December 2010,127712000.0,4969000.0,103348000.0,-11402000.0,2779790000.0,349595000.0,
March 2011,144636000.0,7143000.0,117064000.0,-21239000.0,,,
June 2011,159453000.0,6101000.0,128843000.0,-19255000.0,3124318000.0,420907000.0,
September 2011,146766000.0,6477000.0,115854000.0,-25764000.0,3072214000.0,403041000.0,
December 2011,298042000.0,7129000.0,125323000.0,-148211000.0,2894860000.0,388099000.0,2506761000.0
March 2012,148843000.0,6673000.0,117657000.0,-29354000.0,2905104000.0,407010000.0,
June 2012,145814000.0,7084000.0,114225000.0,-20198000.0,2859491000.0,394020000.0,
September 2012,143160000.0,7938000.0,110735000.0,-22562000.0,2852041000.0,409086000.0,
December 2012,598685000.0,6197000.0,117494000.0,-47036000.0,2862723000.0,405636000.0,2457087000.0
March 2013,149645000.0,7979000.0,117835000.0,-32364000.0,2845863000.0,413486000.0,
June 2013,149360000.0,7742000.0,117774000.0,-20814000.0,2817029000.0,412498000.0,
September 2013,144514000.0,8028000.0,112566000.0,-18488000.0,2809783000.0,426974000.0,
December 2013,741496000.0,9472000.0,129815000.0,-131786000.0,2694779000.0,439127000.0,147328000.0
March 2014,272542000.0,9753000.0,123482000.0,-36522000.0,2682835000.0,440737000.0,
June 2014,160879000.0,9603000.0,127776000.0,-25434000.0,2671074000.0,446582000.0,
September 2014,155944000.0,9159000.0,123632000.0,-21206000.0,2653420000.0,462430000.0,
December 2014,536050000.0,8762000.0,64982000.0,-7372000.0,2598493000.0,436314000.0,152960000.0
March 2015,260024000.0,8900000.0,119773000.0,-35526000.0,2562888000.0,434720000.0,
