,OperatingExpenses,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2015,5334500.0,4230000.0,,
June 2015,5334500.0,5131000.0,,
September 2015,5334500.0,5415000.0,,
December 2015,5334500.0,1777000.0,,
March 2016,9562250.0,6176000.0,,
June 2016,9562250.0,5714000.0,,
September 2016,9562250.0,7476000.0,,
December 2016,9562250.0,-260000.0,,
March 2017,9103000.0,5948000.0,,
June 2017,8980000.0,9902000.0,,
September 2017,9345000.0,6245000.0,,
December 2017,48332000.0,3351000.0,,
March 2018,5564000.0,4356000.0,,
June 2018,9486000.0,3987000.0,,
September 2018,3792000.0,3234000.0,,
December 2018,3747000.0,3061000.0,,
March 2019,4428000.0,3855000.0,,
June 2019,3983000.0,3069000.0,,
September 2019,8789000.0,3193000.0,,
December 2019,8772000.0,3138000.0,,
March 2020,13048000.0,2896000.0,,
June 2020,2392000.0,2101000.0,,
September 2020,7885000.0,2291000.0,,
