,NetIncomeLoss,Assets,AssetsCurrent
March 2016,-6287000.0,14031000.0,3777000.0
June 2016,-3889000.0,15443000.0,5601000.0
September 2016,-798000.0,15017000.0,5564000.0
December 2016,315000.0,14008000.0,4773000.0
March 2017,-1073000.0,13254000.0,4362000.0
June 2017,-460000.0,13255000.0,4546000.0
September 2017,-318000.0,14902000.0,6333000.0
December 2017,-2041000.0,13077000.0,4937000.0
March 2018,-735000.0,12334000.0,4468000.0
June 2018,-1689000.0,12191000.0,4559000.0
September 2018,1585000.0,14229000.0,6934000.0
December 2018,-1106000.0,12644000.0,5535000.0
March 2019,-2351000.0,11288000.0,4444000.0
June 2019,-2458000.0,11134000.0,6912000.0
September 2019,-1760000.0,11233000.0,3964000.0
December 2019,1183000.0,13357000.0,6195000.0
March 2020,-3336000.0,10235000.0,3494000.0
June 2020,-2323000.0,11413000.0,4929000.0
September 2020,-1286000.0,16580000.0,10249000.0
December 2020,-2141000.0,18306000.0,11314000.0
March 2021,-3178000.0,18825000.0,11741000.0
June 2021,-810000.0,19105000.0,11676000.0
September 2021,411000.0,20062000.0,12721000.0
December 2021,1482000.0,23678000.0,16304000.0
March 2022,-316000.0,23637000.0,16381000.0
June 2022,-2813000.0,21318000.0,14193000.0
