,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2017,8165500.0,2456250.0,-3912000.0,,,
June 2017,8165500.0,2456250.0,-3912000.0,,,
September 2017,8165500.0,2456250.0,-3912000.0,,,
December 2017,8165500.0,2456250.0,-3912000.0,64236000.0,28210000.0,36026000.0
March 2018,9538000.0,3355000.0,-5236000.0,,,
June 2018,9668000.0,3664000.0,-4179000.0,,,
September 2018,10433000.0,4336000.0,-4427000.0,,,
December 2018,11022000.0,4761000.0,-5572000.0,60027000.0,22894000.0,37133000.0
March 2019,10465000.0,4177000.0,-4576000.0,64168000.0,17849000.0,46319000.0
June 2019,10285000.0,4297000.0,-4573000.0,63822000.0,17860000.0,45962000.0
September 2019,9027000.0,3516000.0,-3530000.0,60324000.0,15304000.0,45020000.0
December 2019,10726000.0,3811000.0,-5339000.0,60828000.0,15505000.0,45323000.0
March 2020,8594000.0,3344000.0,-2751000.0,69590000.0,20133000.0,49457000.0
June 2020,9773000.0,4151000.0,-4614000.0,69223000.0,20709000.0,48514000.0
September 2020,10013000.0,4769000.0,-4892000.0,64794000.0,17530000.0,47264000.0
December 2020,8964000.0,3819000.0,-5006000.0,58943000.0,12015000.0,46928000.0
March 2021,9048000.0,4250000.0,-4197000.0,63261000.0,18949000.0,44312000.0
June 2021,9146000.0,4110000.0,-5588000.0,61173000.0,17899000.0,43274000.0
September 2021,9221000.0,4100000.0,-5787000.0,65541000.0,24341000.0,41200000.0
December 2021,10300000.0,5164000.0,-7467000.0,46128000.0,7324000.0,38804000.0
March 2022,9840000.0,4445000.0,-6483000.0,58293000.0,21362000.0,36931000.0
June 2022,8538000.0,3776000.0,-12436000.0,41760000.0,23806000.0,17954000.0
